timestamp,ch1,ch2,ch3,ch4,ch5,ch10
1773349375,7180482.423085682,24464557.721568216,24465949.69439773,13513.027028447,16182.462309269,24465949.855073225
1773349376,7180526.220789686,24464601.516265217,24465993.489068743,13556.825693216,16226.257820984,24465993.64975037
1773349377,7180570.018114926,24464645.310601547,24466037.283414498,13600.622464352,16270.054811078,24466037.444092143
1773349378,7180613.814690889,24464689.104580887,24466081.07740952,13644.421472113,16313.84884271,24466081.238079388
1773349379,7180657.609764215,24464732.898206215,24466124.871036682,13688.21728088,16357.638594525,24466125.03170655
1773349380,7180701.405500569,24464776.691470914,24466168.664331008,13732.015939465,16401.42906435,24466168.824971974
1773349381,7180745.202290678,24464820.484401003,24466212.457249463,13775.81194919,16445.220311077,24466212.61788148
1773349382,7180788.994902964,24464864.27695838,24466256.249794174,13819.609247157,16489.011159971,24466256.41044371
1773349383,7180832.790406783,24464908.069173906,24466300.041987807,13863.406404933,16532.800896814,24466300.202666014
1773349384,7180876.583940583,24464951.861021582,24466343.833835483,13907.199523568,16576.589554462,24466343.994517334
1773349385,7180920.37764541,24464995.652525004,24466387.62533938,13950.994306337,16620.381962447,24466387.78603209
1773349386,7180964.172215019,24465039.44368541,24466431.416507557,13994.787070445,16664.170386462,24466431.577168982
1773349387,7181007.967311331,24465083.234489404,24466475.207304254,14038.580543438,16707.96249124,24466475.367980383
1773349388,7181051.760833771,24465127.024943072,24466518.997740448,14082.375838574,16751.750726821,24466519.158434052
1773349389,7181095.554276806,24465170.81504966,24466562.78784747,14126.169983532,16795.539623038,24466562.9485383
1773349390,7181139.346343856,24465214.604806364,24466606.57758666,14169.961871234,16839.332591827,24466606.738299586
1773349391,7181183.138419762,24465258.39422336,24466650.366986617,14213.757186651,16883.121006726,24466650.527709663
1773349392,7181226.931259197,24465302.183279913,24466694.15601135,14257.5497075,16926.911066744,24466694.316769425
1773349393,7181270.723737453,24465345.971993063,24466737.94472177,14301.343347639,16970.69939585,24466738.105478875
1773349394,7181314.513959435,24465389.760355912,24466781.733084615,14345.13754204,17014.488589193,24466781.893839873
1773349395,7181358.304522208,24465433.548376363,24466825.521070514,14388.929327075,17058.278843291,24466825.68185799
1773349396,7181402.095039585,24465477.336042315,24466869.30873647,14432.719581816,17102.06344231,24466869.469523944
1773349397,7181445.885384009,24465521.123340458,24466913.09605044,14476.510060767,17145.850057812,24466913.256822083
1773349398,7181489.676124919,24465564.91030738,24466956.883002013,14520.300684728,17189.635186742,24466957.04378667
1773349399,7181533.466064141,24465608.69690866,24467000.669609077,14564.089114634,17233.421847091,24467000.83038795
1773349400,7181577.254176736,24465652.483151183,24467044.455863807,14607.87765184,17277.207759678,24467044.616628136
1773349401,7181621.042593436,24465696.26903811,24467088.241750736,14651.669866349,17320.99444678,24467088.402532578
1773349402,7181664.831389035,24465740.054573797,24467132.02730441,14695.459069808,17364.779056729,24467132.18806263
1773349403,7181708.619315395,24465783.83976391,24467175.812494528,14739.24811714,17408.565113061,24467175.973238524
1773349404,7181752.407244574,24465827.624592803,24467219.597351875,14783.035831304,17452.35216843,24467219.758065082
1773349405,7181796.194777217,24465871.409051105,24467263.381793026,14826.824529128,17496.136186089,24467263.542540897
1773349406,7181839.981593051,24465915.193176646,24467307.16590483,14870.610210158,17539.92096232,24467307.32666071
1773349407,7181883.768346937,24465958.97695231,24467350.94966637,14914.398416563,17583.703345764,24467351.110424183
1773349408,7181927.555841654,24466002.760367777,24467394.733099826,14958.187368642,17627.487942418,24467394.893835377
1773349409,7181971.341484349,24466046.543432575,24467438.516182136,15001.972411498,17671.271046365,24467438.676900174
1773349410,7182015.128144048,24466090.326123886,24467482.298879158,15045.760692892,17715.053603951,24467482.459597196
1773349411,7182058.913838394,24466134.10847446,24467526.081259523,15089.545427486,17758.834147623,24467526.241957232
1773349412,7182102.699185568,24466177.890476692,24467569.86327735,15133.33150613,17802.61445762,24467570.02395755
1773349413,7182146.484360223,24466221.672130574,24467613.64493363,15177.117632634,17846.396245578,24467613.80560761
1773349414,7182190.268783495,24466265.45339918,24467657.42625477,15220.903827969,17890.17910683,24467657.58687962
1773349415,7182234.052608536,24466309.234348457,24467701.20723955,15264.687399314,17933.958316549,24467701.36782656
1773349416,7182277.83625475,24466353.01493792,24467744.987829223,15308.471717278,17977.739120537,24467745.148398507
1773349417,7182321.61957797,24466396.795177136,24467788.768068228,15352.252245942,18021.521423944,24467788.928638976
1773349418,7182365.402955803,24466440.575038526,24467832.547912583,15396.037512478,18065.301629007,24467832.708519395
1773349419,7182409.186305928,24466484.3545636,24467876.327431925,15439.821479237,18109.083327497,24467876.488039788
1773349420,7182452.969631692,24466528.1337361,24467920.10659125,15483.603688331,18152.864375909,24467920.267209526
1773349421,7182496.752044838,24466571.912564576,24467963.885388575,15527.38568101,18196.64362261,24467964.046037193
1773349422,7182540.533571504,24466615.691013206,24468007.663835675,15571.167416773,18240.420279194,24468007.824484292
1773349423,7182584.315447525,24466659.469092567,24468051.441872276,15614.947033787,18284.199954472,24468051.602570612
1773349424,7182628.094634351,24466703.246817376,24468095.21957028,15658.726551555,18327.977266757,24468095.38030364
1773349425,7182671.874713227,24466747.02419976,24468138.99690061,15702.507110084,18371.757093317,24468139.157651424
1773349426,7182715.654448336,24466790.80120123,24468182.77386706,15746.287253047,18415.533251598,24468182.934667647
1773349427,7182759.434330345,24466834.57782486,24468226.550438635,15790.069198031,18459.312074368,24468226.711301394
1773349428,7182803.212964909,24466878.3540948,24468270.326691065,15833.851478907,18503.085606246,24468270.487576388
1773349429,7182846.992190373,24466922.129977237,24468314.102575775,15877.632097771,18546.858853601,24468314.263456486
1773349430,7182890.771390047,24466965.90548065,24468357.87809277,15921.410237103,18590.634253099,24468358.038942393
1773349431,7182934.549829262,24467009.680598844,24468401.6532131,15965.19041199,18634.409730127,24468401.814060584
1773349432,7182978.330794418,24467053.455341354,24468445.42798109,16008.969781855,18678.186781056,24468445.588811066
1773349433,7183022.108720014,24467097.229710564,24468489.202374283,16052.747635892,18721.959453072,24468489.363169968
1773349434,7183065.885589214,24467141.003676984,24468532.976344727,16096.522847439,18765.730714673,24468533.13715156
1773349435,7183109.661810796,24467184.77725832,24468576.749912452,16140.301171485,18809.501155705,24468576.9107368
1773349436,7183153.438216806,24467228.550435103,24468620.523103323,16184.079516005,18853.273978118,24468620.683901805
1773349437,7183197.214863587,24467272.32324824,24468664.29592212,16227.855661798,18897.048731373,24468664.456700634
1773349438,7183240.991350178,24467316.095633294,24468708.06833701,16271.631157733,18940.819807042,24468708.229103196
1773349439,7183284.766578528,24467359.867635474,24468751.840339664,16315.408017092,18984.592943442,24468752.00110304
1773349440,7183328.538336281,24467403.63923663,24468795.61194082,16359.182690456,19028.365313912,24468795.77270419
1773349441,7183372.312374149,24467447.410435088,24468839.383174296,16402.958023221,19072.137604398,24468839.543902654
1773349442,7183416.085891397,24467491.181245185,24468883.15400238,16446.731389546,19115.906993031,24468883.314698417
1773349443,7183459.85904912,24467534.95165978,24468926.924416974,16490.503676986,19159.677440252,24468927.0851075
1773349444,7183503.631809347,24467578.72165905,24468970.694399215,16534.276086081,19203.451102941,24468970.855121944
1773349445,7183547.404685612,24467622.491298717,24469014.464029975,16578.046052286,19247.22153162,24469014.62475927
1773349446,7183591.178642715,24467666.26054834,24469058.233271472,16621.82009174,19290.994170168,24469058.394008894
1773349447,7183634.950487596,24467710.029412795,24469102.0021534,16665.590902724,19334.762996165,24469102.162870497
1773349448,7183678.722544162,24467753.797927096,24469145.770663723,16709.362352076,19378.527552575,24469145.93137135
1773349449,7183722.493128862,24467797.566046324,24469189.538787443,16753.13364378,19422.296307967,24469189.699509803
1773349450,7183766.265250735,24467841.333841037,24469233.306582633,16796.906988551,19466.064877075,24469233.46729692
1773349451,7183810.037590167,24467885.101293746,24469277.074019607,16840.678395127,19509.83238512,24469277.2347514
1773349452,7183853.808490153,24467928.868402164,24469320.84109172,16884.447406655,19553.597650848,24469321.001855742
1773349453,7183897.578533665,24467972.63516045,24469364.607850004,16928.218570528,19597.365810111,24469364.768631503
1773349454,7183941.350152316,24468016.401638627,24469408.37432818,16971.989773046,19641.132946965,24469408.53509217
1773349455,7183985.119789205,24468060.167798746,24469452.140488777,17015.758513227,19684.897636555,24469452.301249955
1773349456,7184028.889369376,24468103.933651943,24469495.906340815,17059.528946309,19728.665849816,24469496.067101993
1773349457,7184072.657159865,24468147.699210476,24469539.67188348,17103.297128852,19772.43034717,24469539.832676854
1773349458,7184116.424594699,24468191.464523923,24469583.437161915,17147.06672386,19816.196261355,24469583.597972795
1773349459,7184160.19158584,24468235.229539763,24469627.202174217,17190.83410945,19859.961052374,24469627.36298864
1773349460,7184203.959470579,24468278.99432803,24469670.966931008,17234.601862876,19903.725442834,24469671.127759397
1773349461,7184247.726774521,24468322.758857924,24469714.73147889,17278.37137605,19947.491998459,24469714.89230446
1773349462,7184291.492576511,24468366.523150984,24469758.495763604,17322.136438452,19991.256355042,24469758.65661269
1773349463,7184335.260513323,24468410.287234787,24469802.259838246,17365.904265005,20035.021867395,24469802.420691468
1773349464,7184379.027013778,24468454.051115975,24469846.023702823,17409.672507659,20078.789188054,24469846.1845459
1773349465,7184422.793162004,24468497.81477786,24469889.787396062,17453.438974,20122.551314362,24469889.94821882
1773349466,7184466.560010505,24468541.5782407,24469933.55088751,17497.205731993,20166.312026325,24469933.711702406
1773349467,7184510.325601344,24468585.341549233,24469977.314223196,17540.97026185,20210.074582976,24469977.474993434
1773349468,7184554.092671055,24468629.10468088,24470021.07739033,17584.735379068,20253.839244451,24470021.238126915
1773349469,7184597.860318961,24468672.86766096,24470064.84037041,17628.504761238,20297.602283073,24470065.00108532
1773349470,7184641.62566302,24468716.630465988,24470108.603164878,17672.271088239,20341.36208345,24470108.763907854
1773349471,7184685.390734388,24468760.393165983,24470152.365840424,17716.033993838,20385.122327853,24470152.52660785
1773349472,7184729.155257216,24468804.15574072,24470196.128380626,17759.798729036,20428.885336602,24470196.28918025
1773349473,7184772.922092474,24468847.918182295,24470239.890822202,17803.566371372,20472.648436679,24470240.05162273
1773349474,7184816.686940841,24468891.680518843,24470283.65315875,17847.332493041,20516.412163227,24470283.813958373
1773349475,7184860.451978291,24468935.44273286,24470327.415372767,17891.099171817,20560.174801302,24470327.57617239
1773349476,7184904.216155179,24468979.20487685,24470371.177499257,17934.865583586,20603.93480924,24470371.338316385
1773349477,7184947.983439535,24469022.966933325,24470414.939555727,17978.632777758,20647.695694031,24470415.100372855
1773349478,7184991.748476891,24469066.728907015,24470458.701512393,18022.398053153,20691.45664578,24470458.8623418
1773349479,7185035.513480392,24469110.49078369,24470502.463371083,18066.163553283,20735.215764875,24470502.624240726
1773349480,7185079.27817074,24469154.2526126,24470546.22518249,18109.928511398,20778.977180456,24470546.38604537
1773349481,7185123.042541272,24469198.0144065,24470589.986959107,18153.694599562,20822.738246572,24470590.147828523
1773349482,7185166.807425041,24469241.77614788,24470633.748669654,18197.458601736,20866.501032769,24470633.909569904
1773349483,7185210.572203841,24469285.537819244,24470677.510327686,18241.224170823,20910.261373383,24470677.671258774
1773349484,7185254.336992297,24469329.299473103,24470721.271955468,18284.990143385,20954.026064733,24470721.432912633
1773349485,7185298.102583853,24469373.061090883,24470765.03355681,18328.755579283,20997.787123082,24470765.194528077
1773349486,7185341.868313261,24469416.822693296,24470808.795193166,18372.521882221,21041.548085002,24470808.956098586
1773349487,7185385.633973428,24469460.58426691,24470852.556777004,18416.287194748,21085.305757348,24470852.717681658
1773349488,7185429.398337126,24469504.345790956,24470896.318320263,18460.051705729,21129.067052995,24470896.479222097
1773349489,7185473.163215292,24469548.10733979,24470940.079873268,18503.818996604,21172.828280884,24470940.2407751
1773349490,7185516.927872411,24469591.868873406,24470983.841408767,18547.585126311,21216.589170358,24470984.0023106
1773349491,7185560.691744726,24469635.630408905,24471027.602944266,18591.350098032,21260.353006077,24471027.76383273
1773349492,7185604.455460625,24469679.391944405,24471071.364444755,18635.115390676,21304.115703782,24471071.525364093
1773349493,7185648.21956301,24469723.15348259,24471115.125980254,18678.879501409,21347.879623956,24471115.286904614
1773349494,7185691.984699683,24469766.915050413,24471158.88753326,18722.642471894,21391.641305299,24471159.048470102
1773349495,7185735.750744074,24469810.67662092,24471202.649086263,18766.409421939,21435.405677383,24471202.810037285
1773349496,7185779.516597801,24469854.4381991,24471246.41066396,18810.175146189,21479.16698764,24471246.571621124
1773349497,7185823.280627429,24469898.19978294,24471290.172265302,18853.939618347,21522.929329179,24471290.333216637
1773349498,7185867.046902082,24469941.961402465,24471333.93388531,18897.701852371,21566.688772563,24471334.094822153
1773349499,7185910.811108388,24469985.723025486,24471377.69550833,18941.468285509,21610.451356555,24471377.856442664
1773349500,7185954.574809214,24470029.484666012,24471421.457148857,18985.234026538,21654.213331933,24471421.6180857
1773349501,7185998.339203501,24470073.246293347,24471465.218754377,19028.997672261,21697.97534515,24471465.379726227
1773349502,7186042.104190736,24470117.00796457,24471508.980394904,19072.761123753,21741.737124952,24471509.14139929
1773349503,7186085.869457136,24470160.769640107,24471552.742070436,19116.524675688,21785.498529515,24471552.90304229
1773349504,7186129.633787285,24470204.53133315,24471596.503772296,19160.29101983,21829.261346729,24471596.664735332
1773349505,7186173.398333713,24470248.29301381,24471640.26547402,19204.054797158,21873.020970819,24471640.426435836
1773349506,7186217.164186942,24470292.054720186,24471684.027185045,19247.819122488,21916.783255456,24471684.18814221
1773349507,7186260.929191612,24470335.81644406,24471727.78890892,19291.585816323,21960.545823778,24471727.949866086
1773349508,7186304.694907837,24470379.57815782,24471771.550623164,19335.351439825,22004.307157736,24471771.711560007
1773349509,7186348.460036768,24470423.33986276,24471815.312304165,19379.116802633,22048.068370383,24471815.47327055
1773349510,7186392.225237212,24470467.101563185,24471859.07399174,19422.883732736,22091.830337295,24471859.234981094
1773349511,7186435.98995098,24470510.863254447,24471902.83566727,19466.649277899,22135.59548909,24471902.996674076
1773349512,7186479.754551183,24470554.624912478,24471946.59733576,19510.413283616,22179.357234158,24471946.758327935
1773349513,7186523.519144243,24470598.386553004,24471990.358972114,19554.179147334,22223.120455142,24471990.51996429
1773349514,7186567.284153388,24470642.14815852,24472034.12057135,19597.944517394,22266.881060739,24472034.281565633
1773349515,7186611.04805504,24470685.909746535,24472077.88215936,19641.709920857,22310.643134647,24472078.04314872
1773349516,7186654.811551323,24470729.67129954,24472121.64372987,19685.473597591,22354.403965629,24472121.80471923
1773349517,7186698.57638512,24470773.432817534,24472165.40523036,19729.236586433,22398.165779707,24472165.566219717
1773349518,7186742.34164785,24470817.194265507,24472209.166678336,19773.00180319,22441.929761613,24472209.3276852
1773349519,7186786.106493961,24470860.955678474,24472252.928091303,19816.767881525,22485.69151059,24472253.08908066
1773349520,7186829.871094229,24470904.71703893,24472296.689451758,19860.531524593,22529.453232498,24472296.85042361
1773349521,7186873.638776546,24470948.478320993,24472340.450724687,19904.296934899,22573.21561592,24472340.611714046
1773349522,7186917.402271892,24470992.239532277,24472384.2119276,19948.061786739,22616.977782058,24472384.372934464
1773349523,7186961.165094257,24471036.00066516,24472427.973043464,19991.826580993,22660.738768224,24472428.134067357
1773349524,7187004.930909536,24471079.761710543,24472471.734105866,20035.592051821,22704.500297536,24472471.895114563
1773349525,7187048.695908685,24471123.522676747,24472515.495046213,20079.357909293,22748.258136807,24472515.65607058
1773349526,7187092.462454261,24471167.28355126,24472559.255899034,20123.123308534,22792.018588857,24472559.416940905
1773349527,7187136.225804758,24471211.044320747,24472603.01666404,20166.888947249,22835.775266935,24472603.177720595
1773349528,7187179.988709564,24471254.80498521,24472646.777310997,20210.65130243,22879.535971286,24472646.93838506
1773349529,7187223.752100987,24471298.565544646,24472690.537852928,20254.415867068,22923.29567455,24472690.698944494
1773349530,7187267.516546435,24471342.325975846,24472734.29827233,20298.177452113,22967.056898755,24472734.459355853
1773349531,7187311.280741688,24471386.08626092,24472778.058569204,20341.941811816,23010.8184666,24472778.219660766
1773349532,7187355.04497864,24471429.84645545,24472821.818781726,20385.703347105,23054.576869891,24472821.979852967
1773349533,7187398.809050328,24471473.606511466,24472865.578855243,20429.46857713,23098.338070568,24472865.73990898
1773349534,7187442.571578616,24471517.366409943,24472909.33880623,20473.23105477,23142.097630133,24472909.49980746
1773349535,7187486.335842583,24471561.12616839,24472953.09859796,20516.993978751,23185.85862069,24472953.2595659
1773349536,7187530.098167241,24471604.885769296,24472996.85818309,20560.756607737,23229.621343929,24472997.019149307
1773349537,7187573.85954594,24471648.645218883,24473040.61764397,20604.518590484,23273.378867964,24473040.778596558
1773349538,7187617.623459384,24471692.404508937,24473084.376940716,20648.279547682,23317.138553901,24473084.537896026
1773349539,7187661.38434606,24471736.163641457,24473128.13605573,20692.042318597,23360.89666095,24473128.297036637
1773349540,7187705.147008367,24471779.92259894,24473171.895013213,20735.805553124,23404.655207422,24473172.05599412
1773349541,7187748.90836207,24471823.681381386,24473215.65383067,20779.565953202,23448.411678219,24473215.814779807
1773349542,7187792.671981936,24471867.4399986,24473259.41246587,20823.328164108,23492.17132757,24473259.57337394
1773349543,7187836.431957013,24471911.198421173,24473303.170902472,20867.089857355,23535.928391388,24473303.331810545
1773349544,7187880.19358622,24471954.956661765,24473346.92914654,20910.852828405,23579.685089547,24473347.09005461
1773349545,7187923.95469267,24471998.71471829,24473390.687221047,20954.617374713,23623.441961395,24473390.84810614
1773349546,7187967.716168671,24472042.47258152,24473434.44510178,20998.378024017,23667.199754966,24473434.60597203
1773349547,7188011.477848378,24472086.230269723,24473478.202807482,21042.14038374,23710.956893231,24473478.36363159
1773349548,7188055.239207311,24472129.987747885,24473521.96028565,21085.901129103,23754.717313684,24473522.121120892
1773349549,7188099.000630197,24472173.74502048,24473565.71755378,21129.661536845,23798.473147078,24473565.878406525
1773349550,7188142.760468455,24472217.502100326,24473609.474603564,21173.423899151,23842.232387587,24473609.63548212
1773349551,7188186.522067191,24472261.258987643,24473653.23147338,21217.182362414,23885.98953411,24473653.392358314
1773349552,7188230.279983899,24472305.015647426,24473696.988115657,21260.941694381,23929.748123261,24473697.149035603
1773349553,7188274.039510538,24472348.772097174,24473740.744547904,21304.703133205,23973.504900931,24473740.905469503
1773349554,7188317.799733935,24472392.528345145,24473784.50079636,21348.460835623,24017.262770146,24473784.661713485
1773349555,7188361.557975074,24472436.2843616,24473828.256830312,21392.219830227,24061.018166226,24473828.41774744
1773349556,7188405.315648521,24472480.040168025,24473872.01263674,21435.979471833,24104.773422462,24473872.173550826
1773349557,7188449.073574966,24472523.795767993,24473915.76823313,21479.736216614,24148.528994766,24473915.929133996
1773349558,7188492.83179909,24472567.551106133,24473959.52357533,21523.49570346,24192.281596724,24473959.68447766
1773349559,7188536.590862144,24472611.30625175,24474003.27875595,21567.254249453,24236.034203893,24474003.439617753
1773349560,7188580.349382197,24472655.061186273,24474047.033708453,21611.012864269,24279.787296976,24474047.19454994
1773349561,7188624.107225373,24472698.81589863,24474090.788438316,21654.770675442,24323.540609137,24474090.9492623
1773349562,7188667.863331641,24472742.570383463,24474134.54293115,21698.528333917,24367.297153959,24474134.703764636
1773349563,7188711.621245537,24472786.32465828,24474178.29721026,21742.285426696,24411.051380771,24474178.458039448
1773349564,7188755.37715736,24472830.07872169,24474222.051261857,21786.042981397,24454.802243573,24474222.212083027
1773349565,7188799.134923691,24472873.832563266,24474265.805103432,21829.800227571,24498.552980712,24474265.965924606
1773349566,7188842.889935235,24472917.58618457,24474309.558699988,21873.556592214,24542.309236667,24474309.71955616
1773349567,7188886.647073239,24472961.339610424,24474353.312098566,21917.315829089,24586.059243572,24474353.472986925
1773349568,7188930.401960098,24473005.092826266,24474397.06531441,21961.074301617,24629.809309651,24474397.226189226
1773349569,7188974.157510632,24473048.845832095,24474440.818320237,22004.831235668,24673.56358164,24474440.979191095
1773349570,7189017.914101195,24473092.598603383,24474484.571098547,22048.58619241,24717.313562881,24474484.73196941
1773349571,7189061.66873764,24473136.35117256,24474528.323649347,22092.341927466,24761.067598782,24474528.484529227
1773349572,7189105.424382986,24473180.103535175,24474572.0760063,22136.097943467,24804.820314961,24474572.236891843
1773349573,7189149.178988463,24473223.855670284,24474615.828141406,22179.856250219,24848.571751076,24474615.989026953
1773349574,7189192.9346308,24473267.607602246,24474659.580066502,22223.611823798,24892.325190305,24474659.740969546
1773349575,7189236.689004008,24473311.359310467,24474703.331775784,22267.364554348,24936.078357948,24474703.492676012
1773349576,7189280.444170254,24473355.1108311,24474747.083320208,22311.119330113,24979.82930244,24474747.244185437
1773349577,7189324.198775046,24473398.86213052,24474790.83464002,22354.875398131,25023.580346517,24474790.99548485
